,Number of Certified Beds,Number of Residents in Certified Beds,Total Weighted Health Survey Score,Adjusted Total Nurse Staffing Hours per Resident per Day,Number of Facility Reported Incidents,Number of Substantiated Complaints,Total Number of Penalties,clusters,cluster
0,124,102,22.667,3.81554,0,1,1,2,light purple
1,183,168,48.667,3.28225,0,3,1,1,v.light purple
2,77,77,15.333,3.72376,0,0,0,0,pink
3,107,96,25.333,5.53756,0,3,1,2,light purple
4,88,81,13.333,5.14766,0,0,0,2,light purple
5,114,111,32.667,3.83348,0,0,0,2,light purple
6,159,123,52.0,3.7966,0,1,0,1,v.light purple
7,110,96,14.667,3.9393,0,0,0,2,light purple
8,100,79,5.333,6.35714,0,0,0,2,light purple
9,116,102,23.333,5.39526,0,1,0,2,light purple
10,170,113,44.667,4.26429,0,2,1,1,v.light purple
11,234,218,30.0,7.63312,0,1,0,1,v.light purple
12,120,112,32.667,2.95974,0,0,0,2,light purple
13,120,91,17.333,3.05521,0,0,0,2,light purple
14,159,150,40.667,5.60321,0,2,1,1,v.light purple
15,79,69,19.333,4.13761,0,0,0,0,pink
16,144,95,263.0,4.39365,0,0,2,5,v.dark purple
17,75,74,10.667,5.21201,0,0,0,0,pink
18,68,62,11.333,4.35531,0,1,0,0,pink
19,91,79,8.667,4.46214,0,0,0,2,light purple
20,172,155,34.667,3.22424,0,1,0,1,v.light purple
21,91,81,15.333,4.55277,0,0,1,2,light purple
22,168,164,23.333,4.03778,0,5,0,1,v.light purple
23,94,78,72.667,3.46329,0,4,1,2,light purple
24,91,81,10.667,4.65311,0,0,0,2,light purple
25,225,161,36.667,5.65444,0,0,0,1,v.light purple
26,118,104,18.0,4.22069,0,0,0,2,light purple
27,68,67,44.667,3.72106,0,4,0,0,pink
28,138,133,38.0,4.5592,0,1,0,2,light purple
29,131,116,63.333,4.04882,0,0,0,2,light purple
30,95,74,35.333,6.16049,0,1,0,2,light purple
31,90,75,17.333,3.09673,0,0,0,2,light purple
32,84,79,36.667,4.65283,0,1,0,2,light purple
33,34,34,33.167,4.67839,0,0,1,0,pink
34,154,128,12.0,5.28265,0,0,0,1,v.light purple
35,83,52,29.333,2.89928,0,6,0,0,pink
36,59,51,14.0,4.37223,0,0,0,0,pink
37,15,14,133.0,6.97733,0,0,2,0,pink
38,54,52,20.667,3.34995,0,0,0,0,pink
39,18,15,239.5,5.39087,0,1,2,5,v.dark purple
40,79,65,613.167,5.8436,13,8,4,3,purple
41,60,58,90.0,4.18224,0,0,0,0,pink
42,105,51,24.0,5.22246,0,4,0,2,light purple
43,85,73,14.667,3.87406,0,6,0,2,light purple
44,84,67,27.0,3.8844,0,0,0,0,pink
45,105,71,38.0,3.9184,1,0,2,2,light purple
46,86,68,17.333,3.93189,0,0,0,0,pink
47,70,53,94.333,4.09008,1,0,1,0,pink
48,86,64,16.0,4.43937,0,0,0,0,pink
49,110,103,46.0,4.21537,0,3,0,2,light purple
50,80,72,33.333,5.31118,0,1,0,0,pink
51,140,118,19.333,3.46985,0,1,0,2,light purple
52,290,248,28.0,9.10865,0,3,0,4,dark purple
53,62,50,50.0,4.8643,1,0,0,0,pink
54,391,349,123.667,4.29719,3,3,0,4,dark purple
55,162,145,100.667,4.74226,3,0,0,1,v.light purple
56,52,36,32.0,6.42519,6,0,0,0,pink
57,99,69,203.167,4.66042,23,4,3,5,v.dark purple
58,167,150,33.333,4.15599,65,1,0,1,v.light purple
59,33,31,63.333,5.37489,0,0,0,0,pink
60,201,46,42.0,2.56078,4,1,0,2,light purple
61,108,105,10.667,4.83102,0,0,0,2,light purple
62,120,111,12.667,4.43536,0,2,0,2,light purple
63,135,127,102.667,3.79026,0,19,1,2,light purple
64,45,29,38.0,3.89541,0,0,0,0,pink
65,45,37,48.667,3.65095,0,4,0,0,pink
66,120,108,51.333,4.15547,0,8,0,2,light purple
67,89,65,80.667,4.98247,1,4,0,2,light purple
68,120,99,22.0,3.31322,3,5,3,2,light purple
69,104,102,31.333,4.40445,3,0,0,2,light purple
70,153,138,26.667,4.21764,2,4,0,1,v.light purple
71,120,117,189.833,4.40448,6,1,4,5,v.dark purple
72,60,47,32.333,3.47251,0,5,1,0,pink
73,80,45,2.667,4.91048,0,0,0,0,pink
74,60,46,34.0,4.056,0,3,0,0,pink
75,97,88,2.0,4.03166,0,0,0,2,light purple
76,30,21,18.0,5.53067,0,0,0,0,pink
77,120,114,46.667,3.84367,0,7,0,2,light purple
78,60,45,32.667,5.9544,0,0,0,0,pink
79,120,115,21.333,5.92281,0,0,0,2,light purple
80,120,97,34.667,4.55443,0,0,0,2,light purple
81,68,63,14.667,4.39595,0,2,0,0,pink
82,40,35,24.667,5.38763,0,0,0,0,pink
83,127,84,21.333,3.75158,0,6,0,2,light purple
84,246,231,16.667,3.4495,0,1,0,1,v.light purple
85,100,83,6.667,3.50768,0,3,0,2,light purple
86,72,67,4.0,3.48784,0,0,0,0,pink
87,64,59,10.667,3.50742,0,0,0,0,pink
88,110,108,63.333,2.53016,0,5,1,2,light purple
89,87,85,11.333,4.37181,0,0,0,2,light purple
90,101,75,16.667,3.11501,0,0,0,2,light purple
91,106,50,16.667,4.17611,0,2,0,2,light purple
92,133,129,23.333,4.34927,0,1,3,2,light purple
93,64,45,33.333,4.03813,0,1,2,0,pink
94,75,59,6.0,4.46516,0,0,0,0,pink
95,110,93,26.667,3.97254,0,0,0,2,light purple
96,20,20,24.667,6.20268,0,0,0,0,pink
97,24,23,34.667,8.36064,0,0,0,0,pink
98,66,59,36.0,5.47986,0,0,2,0,pink
99,44,37,34.667,4.4079,0,0,0,0,pink
100,120,107,34.667,3.31211,0,0,0,2,light purple
101,94,85,31.333,3.30554,0,0,0,2,light purple
102,120,88,28.667,3.62597,0,0,0,2,light purple
103,30,27,96.0,4.59315,0,5,4,0,pink
104,145,114,68.5,3.35632,3,27,1,2,light purple
105,112,87,76.667,3.36595,2,6,0,2,light purple
106,99,64,91.333,3.33932,0,13,0,2,light purple
107,294,187,172.0,2.78111,2,62,1,1,v.light purple
108,92,70,14.0,2.90473,0,3,0,2,light purple
109,30,18,11.333,6.31334,0,0,0,0,pink
110,120,91,54.667,3.02486,1,6,0,2,light purple
111,28,14,43.333,4.63128,0,0,0,0,pink
112,116,95,106.667,3.84677,0,16,2,5,v.dark purple
113,120,115,238.0,2.83569,3,32,2,5,v.dark purple
114,140,119,28.667,3.69898,0,4,0,2,light purple
115,265,197,62.0,4.42682,0,34,0,1,v.light purple
116,193,143,76.0,4.05875,1,24,1,1,v.light purple
117,297,208,127.667,3.20978,2,57,3,1,v.light purple
118,99,66,22.0,3.46335,0,5,0,2,light purple
119,200,161,30.0,3.13602,0,3,0,1,v.light purple
120,80,35,20.667,3.84969,1,3,0,0,pink
